==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
17.7883s  5.9520us            (100 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [13955]
17.7891s  50.816us                    -               -         -         -         -  615.09KB  11.544GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7895s  26.752us                    -               -         -         -         -  307.55KB  10.964GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7903s  54.336us            (206 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [13961]
17.7937s  2.0480us                    -               -         -         -         -  51.258KB  23.869GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7937s  5.8240us                    -               -         -         -         -  51.258KB  8.3934GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7938s  6.4650us                    -               -         -         -         -  51.258KB  7.5612GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7939s  1.4080us            (206 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [14024]
17.7942s  57.665us            (206 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [14026]
17.7958s  2.1440us                    -               -         -         -         -  51.258KB  22.800GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7958s  5.7920us                    -               -         -         -         -  51.258KB  8.4398GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7958s  6.4640us                    -               -         -         -         -  51.258KB  7.5624GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7971s  2.1120us                    -               -         -         -         -  13.133KB  5.9301GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7971s  2.7840us                    -               -         -         -         -  13.133KB  4.4987GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8007s  2.1440us                    -               -         -         -         -  13.133KB  5.8416GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8007s  2.7840us                    -               -         -         -         -  13.133KB  4.4987GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8008s  1.6000us                    -               -         -         -         -  13.133KB  7.8278GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8015s     960ns             (53 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [14236]
17.8140s  2.3680us                    -               -         -         -         -  18.750KB  7.5513GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8140s  1.1840us                    -               -         -         -         -  9.3750KB  7.5513GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8142s  2.0160us                    -               -         -         -         -  26.266KB  12.425GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8142s  3.8400us                    -               -         -         -         -  26.266KB  6.5231GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8144s  2.1120us                    -               -         -         -         -  26.266KB  11.860GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8144s  3.9040us                    -               -         -         -         -  26.266KB  6.4162GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
